answers_keys_json,board_id,columns_json,date,grid_id,rows_json
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",18,"[{""id"":""population_under_x"",""name"":""Population under 5 million"",""variantId"":3},{""id"":""continent"",""name"":""In Europe"",""variantId"":1},{""id"":""gdp_per_capita_over_x"",""name"":""GDP per capita over $30k"",""variantId"":3}]",2024-04-24,18,"[{""id"":""coastline_on_x"",""name"":""Coastline on the Mediterranean Sea"",""variantId"":0},{""id"":""name_x_plus_letters_long"",""name"":""Name is 10+ letters long"",""variantId"":0},{""id"":""landlocked"",""name"":""Is landlocked"",""variantId"":null}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",19,"[{""id"":""flag_has_star"",""name"":""Flag with a star/sun"",""variantId"":null},{""id"":""population_over_x"",""name"":""Population over 5 million"",""variantId"":3},{""id"":""captial_population_under_x"",""name"":""Capital city population under 5 million"",""variantId"":6}]",2024-04-25,19,"[{""id"":""was_ussr"",""name"":""Was part of the USSR"",""variantId"":null},{""id"":""ending_letter"",""name"":""Ends with letter S"",""variantId"":9},{""id"":""starting_letter"",""name"":""Starts with letter S"",""variantId"":13}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",20,"[{""id"":""color_on_flag"",""name"":""Flag with yellow"",""variantId"":2},{""id"":""name_length"",""name"":""Name is 6 letters long"",""variantId"":2},{""id"":""population_under_x"",""name"":""Population under 2 million"",""variantId"":2}]",2024-04-26,20,"[{""id"":""in_eu"",""name"":""Member of the European Union"",""variantId"":null},{""id"":""continent"",""name"":""In Asia"",""variantId"":0},{""id"":""landlocked"",""name"":""Is landlocked"",""variantId"":null}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",21,"[{""id"":""starting_letter"",""name"":""Starts with letter S"",""variantId"":13},{""id"":""continent"",""name"":""In Africa"",""variantId"":2},{""id"":""cpi_over_x"",""name"":""Corruption Perceptions Index over 50"",""variantId"":3}]",2024-04-27,21,"[{""id"":""coastline_on_x"",""name"":""Coastline on the Indian Ocean"",""variantId"":1},{""id"":""captial_population_under_x"",""name"":""Capital city population under 500k"",""variantId"":3},{""id"":""population_under_x"",""name"":""Population under 5 million"",""variantId"":3}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",22,"[{""id"":""starting_letter"",""name"":""Starts with letter M"",""variantId"":10},{""id"":""played_world_cup"",""name"":""Has played in the Men's FIFA World Cup"",""variantId"":null},{""id"":""coastline_on_x"",""name"":""Coastline on the North Atlantic Ocean"",""variantId"":5}]",2024-04-28,22,"[{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null},{""id"":""size_over_x"",""name"":""Area greater than 500,000 km²"",""variantId"":6},{""id"":""flag_has_coat_of_arms"",""name"":""Flag with a coat of arms"",""variantId"":null}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",23,"[{""id"":""flag_has_star"",""name"":""Flag with a star/sun"",""variantId"":null},{""id"":""drives_left"",""name"":""Drives on the left"",""variantId"":null},{""id"":""color_on_flag"",""name"":""Flag with yellow"",""variantId"":2}]",2024-04-29,23,"[{""id"":""continent"",""name"":""In Oceania"",""variantId"":6},{""id"":""top_20_population_density"",""name"":""Top 20 in population density"",""variantId"":null},{""id"":""starting_letter"",""name"":""Starts with letter S"",""variantId"":13}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",24,"[{""id"":""borders_x_or_more"",""name"":""Borders 5+ countries"",""variantId"":0},{""id"":""ending_letter"",""name"":""Ends with letter A"",""variantId"":0},{""id"":""flag_has_star"",""name"":""Flag with a star/sun"",""variantId"":null}]",2024-04-30,24,"[{""id"":""starting_letter"",""name"":""Starts with letter A"",""variantId"":0},{""id"":""continent"",""name"":""In South America"",""variantId"":4},{""id"":""population_over_x"",""name"":""Population over 100 million"",""variantId"":7}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",25,"[{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null},{""id"":""color_on_flag"",""name"":""Flag with green"",""variantId"":4},{""id"":""population_over_x"",""name"":""Population over 20 million"",""variantId"":5}]",2024-05-01,25,"[{""id"":""continent"",""name"":""In Europe"",""variantId"":1},{""id"":""name_length"",""name"":""Name is 5 letters long"",""variantId"":1},{""id"":""name_multiple_words"",""name"":""Name consists of multiple words"",""variantId"":null}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",26,"[{""id"":""population_over_x"",""name"":""Population over 5 million"",""variantId"":3},{""id"":""capital_population_over_x"",""name"":""Capital city population over 1 million"",""variantId"":4},{""id"":""color_on_flag"",""name"":""Flag with yellow"",""variantId"":2}]",2024-05-02,26,"[{""id"":""official_language"",""name"":""Spanish is an official language"",""variantId"":1},{""id"":""borders_x"",""name"":""Borders China"",""variantId"":1},{""id"":""in_eu"",""name"":""Member of the European Union"",""variantId"":null}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",27,"[{""id"":""continent"",""name"":""In Europe"",""variantId"":1},{""id"":""population_over_x"",""name"":""Population over 20 million"",""variantId"":5},{""id"":""is_monarchy"",""name"":""Is a monarchy"",""variantId"":null}]",2024-05-03,27,"[{""id"":""top_20_tourism"",""name"":""Top 20 in annual tourist arrivals"",""variantId"":null},{""id"":""nuclear_power"",""name"":""Produces nuclear power"",""variantId"":null},{""id"":""starting_letter"",""name"":""Starts with letter S"",""variantId"":13}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",28,"[{""id"":""population_over_x"",""name"":""Population over 10 million"",""variantId"":4},{""id"":""olympic_medals_over_x"",""name"":""More than 40 Olympic medals"",""variantId"":3},{""id"":""flag_has_star"",""name"":""Flag with a star/sun"",""variantId"":null}]",2024-05-04,28,"[{""id"":""landlocked"",""name"":""Is landlocked"",""variantId"":null},{""id"":""coastline_on_x"",""name"":""Coastline on the Pacific Ocean"",""variantId"":2},{""id"":""starting_letter"",""name"":""Starts with letter C"",""variantId"":2}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",29,"[{""id"":""official_language"",""name"":""Arabic is an official language"",""variantId"":0},{""id"":""olympic_medals_over_x"",""name"":""More than 100 Olympic medals"",""variantId"":5},{""id"":""continent"",""name"":""In North America"",""variantId"":3}]",2024-05-05,29,"[{""id"":""ending_letter"",""name"":""Ends with letter A"",""variantId"":0},{""id"":""flag_has_star"",""name"":""Flag with a star/sun"",""variantId"":null},{""id"":""population_under_x"",""name"":""Population under 10 million"",""variantId"":4}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",30,"[{""id"":""borders_x_or_more"",""name"":""Borders 5+ countries"",""variantId"":0},{""id"":""population_over_x"",""name"":""Population over 50 million"",""variantId"":6},{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null}]",2024-05-06,30,"[{""id"":""hdi_over_x"",""name"":""Human Development Index over 0.9"",""variantId"":10},{""id"":""name_multiple_words"",""name"":""Name consists of multiple words"",""variantId"":null},{""id"":""name_length"",""name"":""Name is 5 letters long"",""variantId"":1}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",31,"[{""id"":""population_over_x"",""name"":""Population over 20 million"",""variantId"":5},{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null},{""id"":""flag_has_star"",""name"":""Flag with a star/sun"",""variantId"":null}]",2024-05-07,31,"[{""id"":""flag_has_x_colors"",""name"":""Flag with only 2 colors"",""variantId"":0},{""id"":""starting_letter"",""name"":""Starts with letter M"",""variantId"":10},{""id"":""continent"",""name"":""In Europe"",""variantId"":1}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",32,"[{""id"":""color_on_flag"",""name"":""Flag with blue"",""variantId"":1},{""id"":""ending_letter"",""name"":""Ends with letter A"",""variantId"":0},{""id"":""gdp_per_capita_over_x"",""name"":""GDP per capita over $30k"",""variantId"":3}]",2024-05-08,32,"[{""id"":""hosted_olympics"",""name"":""Has hosted the Olympics"",""variantId"":null},{""id"":""continent"",""name"":""In Asia"",""variantId"":0},{""id"":""captial_population_under_x"",""name"":""Capital city population under 50k"",""variantId"":0}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",33,"[{""id"":""continent"",""name"":""In Europe"",""variantId"":1},{""id"":""landlocked"",""name"":""Is landlocked"",""variantId"":null},{""id"":""population_under_x"",""name"":""Population under 5 million"",""variantId"":3}]",2024-05-09,33,"[{""id"":""flag_has_animal"",""name"":""Flag with an animal"",""variantId"":null},{""id"":""starting_letter"",""name"":""Starts with letter S"",""variantId"":13},{""id"":""official_language"",""name"":""French is an official language"",""variantId"":2}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",34,"[{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null},{""id"":""population_under_x"",""name"":""Population under 5 million"",""variantId"":3},{""id"":""olympic_medals_over_x"",""name"":""More than 30 Olympic medals"",""variantId"":2}]",2024-05-10,34,"[{""id"":""capital_not_most_populated_city"",""name"":""Capital is not the most populated city"",""variantId"":null},{""id"":""name_multiple_words"",""name"":""Name consists of multiple words"",""variantId"":null},{""id"":""continent"",""name"":""In Asia"",""variantId"":0}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",35,"[{""id"":""has_nuclear_weapons"",""name"":""Has nuclear weapons"",""variantId"":null},{""id"":""name_length"",""name"":""Name is 4 letters long"",""variantId"":0},{""id"":""continent"",""name"":""In South America"",""variantId"":4}]",2024-05-11,35,"[{""id"":""color_on_flag"",""name"":""Flag with red"",""variantId"":0},{""id"":""flag_has_x_colors"",""name"":""Flag with only 3 colors"",""variantId"":1},{""id"":""population_over_x"",""name"":""Population over 10 million"",""variantId"":4}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",36,"[{""id"":""population_over_x"",""name"":""Population over 5 million"",""variantId"":3},{""id"":""flag_has_star"",""name"":""Flag with a star/sun"",""variantId"":null},{""id"":""played_world_cup"",""name"":""Has played in the Men's FIFA World Cup"",""variantId"":null}]",2024-05-12,36,"[{""id"":""name_start_end_same_letter"",""name"":""Starts and ends with the same letter"",""variantId"":null},{""id"":""continent"",""name"":""In North America"",""variantId"":3},{""id"":""coastline_on_x"",""name"":""Coastline on the Mediterranean Sea"",""variantId"":0}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",37,"[{""id"":""flag_has_x_colors"",""name"":""Flag with only 2 colors"",""variantId"":0},{""id"":""population_over_x"",""name"":""Population over 10 million"",""variantId"":4},{""id"":""name_multiple_words"",""name"":""Name consists of multiple words"",""variantId"":null}]",2024-05-13,37,"[{""id"":""no_olympic_medals"",""name"":""Has never won an Olympic medal"",""variantId"":null},{""id"":""continent"",""name"":""In Europe"",""variantId"":1},{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",38,"[{""id"":""color_on_flag"",""name"":""Flag with green"",""variantId"":4},{""id"":""continent"",""name"":""In Asia"",""variantId"":0},{""id"":""gdp_per_capita_under_x"",""name"":""GDP per capita under $30k"",""variantId"":3}]",2024-05-14,38,"[{""id"":""was_ussr"",""name"":""Was part of the USSR"",""variantId"":null},{""id"":""population_over_x"",""name"":""Population over 100 million"",""variantId"":7},{""id"":""hdi_over_x"",""name"":""Human Development Index over 0.85"",""variantId"":9}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",39,"[{""id"":""continent"",""name"":""In Asia"",""variantId"":0},{""id"":""flag_has_star"",""name"":""Flag with a star/sun"",""variantId"":null},{""id"":""borders_x_or_more"",""name"":""Borders 5+ countries"",""variantId"":0}]",2024-05-15,39,"[{""id"":""capital_not_most_populated_city"",""name"":""Capital is not the most populated city"",""variantId"":null},{""id"":""name_length"",""name"":""Name is 8 letters long"",""variantId"":4},{""id"":""ending_letter"",""name"":""Ends with letter N"",""variantId"":6}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",40,"[{""id"":""population_over_x"",""name"":""Population over 50 million"",""variantId"":6},{""id"":""coastline_on_x"",""name"":""Coastline on the Indian Ocean"",""variantId"":1},{""id"":""capital_population_over_x"",""name"":""Capital city population over 2 million"",""variantId"":5}]",2024-05-16,40,"[{""id"":""commonwealth_member"",""name"":""Member of the Commonwealth"",""variantId"":null},{""id"":""continent"",""name"":""In Africa"",""variantId"":2},{""id"":""color_on_flag"",""name"":""Flag with black"",""variantId"":5}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",41,"[{""id"":""flag_has_star"",""name"":""Flag with a star/sun"",""variantId"":null},{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null},{""id"":""flag_has_x_colors"",""name"":""Flag with only 3 colors"",""variantId"":1}]",2024-05-17,41,"[{""id"":""starting_letter"",""name"":""Starts with letter M"",""variantId"":10},{""id"":""name_multiple_words"",""name"":""Name consists of multiple words"",""variantId"":null},{""id"":""continent"",""name"":""In Oceania"",""variantId"":6}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",42,"[{""id"":""color_on_flag"",""name"":""Flag with yellow"",""variantId"":2},{""id"":""population_under_x"",""name"":""Population under 10 million"",""variantId"":4},{""id"":""size_over_x"",""name"":""Area greater than 50,000 km²"",""variantId"":3}]",2024-05-18,42,"[{""id"":""official_language"",""name"":""Arabic is an official language"",""variantId"":0},{""id"":""starting_letter"",""name"":""Starts with letter G"",""variantId"":5},{""id"":""continent"",""name"":""In North America"",""variantId"":3}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",43,"[{""id"":""color_on_flag"",""name"":""Flag with blue"",""variantId"":1},{""id"":""population_over_x"",""name"":""Population over 5 million"",""variantId"":3},{""id"":""size_over_x"",""name"":""Area greater than 100,000 km²"",""variantId"":4}]",2024-05-19,43,"[{""id"":""continent"",""name"":""In South America"",""variantId"":4},{""id"":""in_eu"",""name"":""Member of the European Union"",""variantId"":null},{""id"":""river_x_runs_through"",""name"":""Is part of the Amazon River system"",""variantId"":1}]"
"[""match_box_1"",""match_box_2"",""match_box_3"",""match_box_4"",""match_box_5"",""match_box_6"",""match_box_7"",""match_box_8"",""match_box_9""]",44,"[{""id"":""continent"",""name"":""In Africa"",""variantId"":2},{""id"":""name_x_plus_letters_long"",""name"":""Name is 10+ letters long"",""variantId"":0},{""id"":""population_over_x"",""name"":""Population over 20 million"",""variantId"":5}]",2024-05-20,44,"[{""id"":""drives_left"",""name"":""Drives on the left"",""variantId"":null},{""id"":""landlocked"",""name"":""Is landlocked"",""variantId"":null},{""id"":""island_nation"",""name"":""Island nation"",""variantId"":null}]"
